province,industry,job_count,province_job_count,share
AN GIANG,KINH DOANH,4,7,0.5714285714285714
AN GIANG,NHÂN SỰ,1,7,0.14285714285714285
AN GIANG,XÂY DỰNG,1,7,0.14285714285714285
AN GIANG,ĐIỆN,1,7,0.14285714285714285
BA RIA - VUNG TAU,DỊCH VỤ KHÁCH HÀNG,1,6,0.16666666666666666
BA RIA - VUNG TAU,HẬU CẦN,2,6,0.3333333333333333
BA RIA - VUNG TAU,KINH DOANH,2,6,0.3333333333333333
BA RIA - VUNG TAU,XÂY DỰNG,1,6,0.16666666666666666
BAC GIANG,BIÊN PHIÊN DỊCH,1,2,0.5
BAC GIANG,BẤT ĐỘNG SẢN,1,2,0.5
BAC NINH,BIÊN PHIÊN DỊCH,2,124,0.016129032258064516
BAC NINH,BẤT ĐỘNG SẢN,1,124,0.008064516129032258
BAC NINH,CHĂM SÓC KHÁCH HÀNG (CUSTOMER SERVICE),2,124,0.016129032258064516
BAC NINH,CÔNG NGHỆ THÔNG TIN,1,124,0.008064516129032258
BAC NINH,GIÁO DỤC,1,124,0.008064516129032258
BAC NINH,KHOA HỌC & KỸ THUẬT,1,124,0.008064516129032258
BAC NINH,KINH DOANH,13,124,0.10483870967741936
BAC NINH,KIẾN TRÚC,1,124,0.008064516129032258
BAC NINH,KẾ TOÁN,17,124,0.13709677419354838
BAC NINH,LOGISTICS,10,124,0.08064516129032258
BAC NINH,MARKETING,4,124,0.03225806451612903
BAC NINH,NHÂN SỰ,11,124,0.08870967741935484
BAC NINH,NĂNG LƯỢNG,1,124,0.008064516129032258
BAC NINH,PHIM VÀ TRUYỀN HÌNH,1,124,0.008064516129032258
BAC NINH,SẢN XUẤT,22,124,0.1774193548387097
BAC NINH,THIẾT KẾ,1,124,0.008064516129032258
BAC NINH,TÀI CHÍNH,1,124,0.008064516129032258
BAC NINH,XÂY DỰNG,21,124,0.1693548387096774
BAC NINH,ĐIỆN,13,124,0.10483870967741936
BINH DINH,LOGISTICS,1,5,0.2
BINH DINH,XÂY DỰNG,4,5,0.8
BINH DUONG,HÀNH CHÍNH VĂN PHÒNG,1,14,0.07142857142857142
BINH DUONG,KINH DOANH,3,14,0.21428571428571427
BINH DUONG,KỸ THUẬT,1,14,0.07142857142857142
BINH DUONG,LOGISTICS,1,14,0.07142857142857142
BINH DUONG,MARKETING,1,14,0.07142857142857142
BINH DUONG,NHÂN SỰ,2,14,0.14285714285714285
BINH DUONG,SẢN XUẤT,3,14,0.21428571428571427
BINH DUONG,XÂY DỰNG,2,14,0.14285714285714285
BINH THUAN,KẾ TOÁN,1,2,0.5
BINH THUAN,SẢN XUẤT,1,2,0.5
CA MAU,KẾ TOÁN,1,2,0.5
CA MAU,SẢN XUẤT,1,2,0.5
CAN THO,KINH DOANH,12,29,0.41379310344827586
CAN THO,KẾ TOÁN,3,29,0.10344827586206896
CAN THO,LOGISTICS,1,29,0.034482758620689655
CAN THO,MARKETING,3,29,0.10344827586206896
CAN THO,NHÂN SỰ,1,29,0.034482758620689655
CAN THO,PHIM VÀ TRUYỀN HÌNH,1,29,0.034482758620689655
CAN THO,SẢN XUẤT,5,29,0.1724137931034483
CAN THO,TÀI CHÍNH,1,29,0.034482758620689655
CAN THO,XÂY DỰNG,2,29,0.06896551724137931
DA NANG,BÁN LẺ,1,157,0.006369426751592357
DA NANG,BẤT ĐỘNG SẢN,1,157,0.006369426751592357
DA NANG,CHĂM SÓC KHÁCH HÀNG (CUSTOMER SERVICE),10,157,0.06369426751592357
DA NANG,CÔNG NGHỆ THÔNG TIN,6,157,0.03821656050955414
DA NANG,DƯỢC,1,157,0.006369426751592357
DA NANG,GIÁO DỤC,4,157,0.025477707006369428
DA NANG,KINH DOANH,48,157,0.3057324840764331
DA NANG,KẾ TOÁN,13,157,0.08280254777070063
DA NANG,LOGISTICS,4,157,0.025477707006369428
DA NANG,LUẬT,2,157,0.012738853503184714
DA NANG,MARKETING,20,157,0.12738853503184713
DA NANG,NGÂN HÀNG & DỊCH VỤ TÀI CHÍNH,1,157,0.006369426751592357
DA NANG,NHÀ HÀNG,4,157,0.025477707006369428
DA NANG,NHÂN SỰ,5,157,0.03184713375796178
DA NANG,SẢN XUẤT,12,157,0.07643312101910828
DA NANG,THIẾT KẾ,2,157,0.012738853503184714
DA NANG,TÀI CHÍNH,2,157,0.012738853503184714
DA NANG,XÂY DỰNG,18,157,0.11464968152866242
DA NANG,ĐIỆN,3,157,0.01910828025477707
DAK LAK,DƯỢC,1,13,0.07692307692307693
DAK LAK,KINH DOANH,9,13,0.6923076923076923
DAK LAK,KẾ TOÁN,1,13,0.07692307692307693
DAK LAK,MARKETING,1,13,0.07692307692307693
DAK LAK,SẢN XUẤT,1,13,0.07692307692307693
DIEN BIEN,XÂY DỰNG,1,1,1.0
DONG NAI,BIÊN PHIÊN DỊCH,3,120,0.025
DONG NAI,BÁN LẺ,2,120,0.016666666666666666
DONG NAI,CHĂM SÓC KHÁCH HÀNG (CUSTOMER SERVICE),2,120,0.016666666666666666
DONG NAI,CÔNG NGHỆ THÔNG TIN,2,120,0.016666666666666666
DONG NAI,DƯỢC,5,120,0.041666666666666664
DONG NAI,GIÁO DỤC,2,120,0.016666666666666666
DONG NAI,KHOA HỌC & KỸ THUẬT,1,120,0.008333333333333333
DONG NAI,KINH DOANH,20,120,0.16666666666666666
DONG NAI,KẾ TOÁN,11,120,0.09166666666666666
DONG NAI,LOGISTICS,6,120,0.05
DONG NAI,MARKETING,4,120,0.03333333333333333
DONG NAI,NHÀ HÀNG,6,120,0.05
DONG NAI,NHÂN SỰ,8,120,0.06666666666666667
DONG NAI,NĂNG LƯỢNG,2,120,0.016666666666666666
DONG NAI,SẢN XUẤT,23,120,0.19166666666666668
DONG NAI,THIẾT KẾ,1,120,0.008333333333333333
DONG NAI,XÂY DỰNG,17,120,0.14166666666666666
DONG NAI,ĐIỆN,5,120,0.041666666666666664
DONG THAP,BIÊN PHIÊN DỊCH,1,22,0.045454545454545456
DONG THAP,BÁN LẺ,1,22,0.045454545454545456
DONG THAP,CÔNG NGHỆ THÔNG TIN,1,22,0.045454545454545456
DONG THAP,KINH DOANH,3,22,0.13636363636363635
DONG THAP,KẾ TOÁN,2,22,0.09090909090909091
DONG THAP,MARKETING,1,22,0.045454545454545456
DONG THAP,NHÂN SỰ,2,22,0.09090909090909091
DONG THAP,SẢN XUẤT,9,22,0.4090909090909091
DONG THAP,XÂY DỰNG,1,22,0.045454545454545456
DONG THAP,ĐIỆN,1,22,0.045454545454545456
GIA LAI,KINH DOANH,2,11,0.18181818181818182
GIA LAI,KẾ TOÁN,1,11,0.09090909090909091
GIA LAI,NHÂN SỰ,2,11,0.18181818181818182
GIA LAI,NHÓM NGHỀ KHÁC,1,11,0.09090909090909091
GIA LAI,NĂNG LƯỢNG,2,11,0.18181818181818182
GIA LAI,SẢN XUẤT,3,11,0.2727272727272727
HA NAM,DƯỢC,1,11,0.09090909090909091
HA NAM,DỆT MAY,1,11,0.09090909090909091
HA NAM,KINH DOANH,1,11,0.09090909090909091
HA NAM,LOGISTICS,1,11,0.09090909090909091
HA NAM,MARKETING,1,11,0.09090909090909091
HA NAM,NHÂN SỰ,4,11,0.36363636363636365
HA NAM,SẢN XUẤT,1,11,0.09090909090909091
HA NAM,XÂY DỰNG,1,11,0.09090909090909091
HA NOI,BIÊN PHIÊN DỊCH,33,3350,0.009850746268656717
HA NOI,BÁN LẺ,39,3350,0.011641791044776119
HA NOI,BẤT ĐỘNG SẢN,19,3350,0.005671641791044776
HA NOI,CEO & GENERAL MANAGEMENT,2,3350,0.0005970149253731343
HA NOI,CHÍNH PHỦ,1,3350,0.00029850746268656717
HA NOI,CHĂM SÓC KHÁCH HÀNG (CUSTOMER SERVICE),125,3350,0.03731343283582089
HA NOI,CÔNG NGHỆ THÔNG TIN,290,3350,0.08656716417910448
HA NOI,DƯỢC,23,3350,0.006865671641791045
HA NOI,DỆT MAY,1,3350,0.00029850746268656717
HA NOI,DỊCH VỤ KHÁCH HÀNG,2,3350,0.0005970149253731343
HA NOI,GIÁO DỤC,90,3350,0.026865671641791045
HA NOI,HÀNH CHÍNH VĂN PHÒNG,4,3350,0.0011940298507462687
HA NOI,HẬU CẦN,3,3350,0.0008955223880597015
HA NOI,KHOA HỌC & KỸ THUẬT,12,3350,0.003582089552238806
HA NOI,KINH DOANH,636,3350,0.18985074626865672
HA NOI,KIẾN TRÚC,17,3350,0.005074626865671642
HA NOI,KẾ TOÁN,474,3350,0.14149253731343284
HA NOI,KỸ THUẬT,7,3350,0.00208955223880597
HA NOI,LOGISTICS,147,3350,0.043880597014925374
HA NOI,LUẬT,7,3350,0.00208955223880597
HA NOI,MARKETING,537,3350,0.16029850746268656
HA NOI,NGÂN HÀNG & DỊCH VỤ TÀI CHÍNH,9,3350,0.0026865671641791043
HA NOI,NHÀ HÀNG,52,3350,0.015522388059701492
HA NOI,NHÂN SỰ,210,3350,0.0626865671641791
HA NOI,NHÓM NGHỀ KHÁC,34,3350,0.010149253731343283
HA NOI,NĂNG LƯỢNG,7,3350,0.00208955223880597
HA NOI,PHIM VÀ TRUYỀN HÌNH,10,3350,0.0029850746268656717
HA NOI,PHÁP LÝ,1,3350,0.00029850746268656717
HA NOI,SẢN XUẤT,135,3350,0.04029850746268657
HA NOI,THIẾT KẾ,36,3350,0.010746268656716417
HA NOI,TIẾP THỊ,4,3350,0.0011940298507462687
HA NOI,TÀI CHÍNH,41,3350,0.012238805970149255
HA NOI,TƯ VẤN CHUYÊN MÔN,5,3350,0.0014925373134328358
HA NOI,XÂY DỰNG,264,3350,0.07880597014925374
HA NOI,ĐIỆN,73,3350,0.021791044776119404
HA TINH,KINH DOANH,2,7,0.2857142857142857
HA TINH,SẢN XUẤT,1,7,0.14285714285714285
HA TINH,XÂY DỰNG,2,7,0.2857142857142857
HA TINH,ĐIỆN,2,7,0.2857142857142857
HAI DUONG,KHOA HỌC & KỸ THUẬT,1,10,0.1
HAI DUONG,KINH DOANH,2,10,0.2
HAI DUONG,KỸ THUẬT,1,10,0.1
HAI DUONG,MARKETING,1,10,0.1
HAI DUONG,NHÀ HÀNG,1,10,0.1
HAI DUONG,SẢN XUẤT,2,10,0.2
HAI DUONG,THIẾT KẾ,1,10,0.1
HAI DUONG,XÂY DỰNG,1,10,0.1
HAI PHONG,BIÊN PHIÊN DỊCH,1,176,0.005681818181818182
HAI PHONG,BÁN LẺ,3,176,0.017045454545454544
HAI PHONG,CHĂM SÓC KHÁCH HÀNG (CUSTOMER SERVICE),1,176,0.005681818181818182
