skill,job_count
KINH DOANH,1847
BÁN HÀNG,1731
MARKETING,1704
KẾ TOÁN,1621
QUẢNG CÁO,1282
BÁN LẺ,1219
PR,1110
KIỂM TOÁN,892
THUẾ,825
HÀNH CHÍNH,760
NHÂN SỰ,714
XÂY DỰNG,700
DỊCH VỤ ĐỜI SỐNG,688
SẢN XUẤT,652
NHÀ HÀNG,641
ĐIỆN TỬ,624
ĐIỆN,604
LOGISTICS,573
CÔNG NGHỆ THÔNG TIN,556
VIỆC LÀM IT,556
THIẾT KẾ,539
CHĂM SÓC KHÁCH HÀNG (CUSTOMER SERVICE),526
THU MUA,526
VIỄN THÔNG,520
KHÁCH SẠN,516
PHÁP CHẾ,507
NGÂN HÀNG,478
LAO ĐỘNG PHỔ THÔNG,460
VẬN TẢI,446
DU LỊCH,417
BẢO HIỂM,406
KHO,406
TÀI CHÍNH,350
SỨC KHOẺ,337
Y TẾ,337
SALES BÁN LẺ,329
PHIM VÀ TRUYỀN HÌNH,323
ĐÀO TẠO,318
GIÁO DỤC,311
VẬN HÀNH,304
BÁN HÀNG KHÁC,300
QUẢN LÝ DỰ ÁN XÂY DỰNG,298
THIẾT KẾ VÀ KIẾN TRÚC,280
KẾ TOÁN TỔNG HỢP,278
DỊCH VỤ ĂN UỐNG,276
DỊCH VỤ TIÊU DÙNG,267
SÁNG TẠO,247
SALES BẤT ĐỘNG SẢN,234
MÔI TRƯỜNG,229
CÔNG NGHỆ SINH HỌC,212
MUA HÀNG,208
DƯỢC,206
SALES SUPPORT,206
SALES ADMIN,205
KHOÁ HỌC,190
DỊCH VỤ ĐỜI SỐNG KHÁC,183
QUẢN LÝ KINH DOANH,182
KHO VẬN,178
XUẤT BẢN,178
NGHỆ THUẬT,177
BẤT ĐỘNG SẢN,175
HOẠT HÌNH,173
GAME,171
BÁO CHÍ,167
TÀI XẾ,163
TỰ ĐỘNG HOÁ,144
PHOTOGRAPHER,139
VIDEO EDITOR,139
SOFTWARE ENGINEERING,137
CHĂM SÓC KHÁCH HÀNG,135
SỬA CHỮA,134
SALES GIÁO DỤC,132
SALES DƯỢC,123
KẾ TOÁN NỘI BỘ,120
VẬN HÀNH SẢN XUẤT,120
MÔI GIỚI BẤT ĐỘNG SẢN,116
CHUYÊN MÔN KINH DOANH,114
DIGITAL MARKETING,113
LÀM ĐẸP,111
NỘI THẤT,111
BẢO TRÌ,110
GIA SƯ,108
GIÁO VIÊN,108
GIẢNG VIÊN,108
THIẾT KẾ NHÀ,108
CONTENT MARKETING,107
GIAO DIỆN,107
CHẾ TẠO MÁY,104
SALES TÀI CHÍNH,100
KẾ TOÁN THUẾ,99
THIẾT KẾ ĐỒ HOẠ,99
TRẢI NGHIỆM,99
QUẢN LÝ CHẤT LƯỢNG,97
SOFTWARE DESIGN,97
TUYỂN DỤNG,92
SALES ASSOCIATE,90
BIÊN PHIÊN DỊCH,89
NGHỀ BIÊN PHIÊN DỊCH,89
GIAO HÀNG,86
KẾ TOÁN TRƯỞNG,86
CHUYÊN MÔN THU MUA,84
