province,industry,job_count,rn
AN GIANG,KINH DOANH,4,1
AN GIANG,NHÂN SỰ,1,2
AN GIANG,XÂY DỰNG,1,3
AN GIANG,ĐIỆN,1,4
BA RIA - VUNG TAU,HẬU CẦN,2,1
BA RIA - VUNG TAU,KINH DOANH,2,2
BA RIA - VUNG TAU,DỊCH VỤ KHÁCH HÀNG,1,3
BA RIA - VUNG TAU,XÂY DỰNG,1,4
BAC GIANG,BIÊN PHIÊN DỊCH,1,1
BAC GIANG,BẤT ĐỘNG SẢN,1,2
BAC NINH,SẢN XUẤT,22,1
BAC NINH,XÂY DỰNG,21,2
BAC NINH,KẾ TOÁN,17,3
BAC NINH,KINH DOANH,13,4
BAC NINH,ĐIỆN,13,5
BINH DINH,XÂY DỰNG,4,1
BINH DINH,LOGISTICS,1,2
BINH DUONG,KINH DOANH,3,1
BINH DUONG,SẢN XUẤT,3,2
BINH DUONG,NHÂN SỰ,2,3
BINH DUONG,XÂY DỰNG,2,4
BINH DUONG,HÀNH CHÍNH VĂN PHÒNG,1,5
BINH THUAN,KẾ TOÁN,1,1
BINH THUAN,SẢN XUẤT,1,2
CA MAU,KẾ TOÁN,1,1
CA MAU,SẢN XUẤT,1,2
CAN THO,KINH DOANH,12,1
CAN THO,SẢN XUẤT,5,2
CAN THO,KẾ TOÁN,3,3
CAN THO,MARKETING,3,4
CAN THO,XÂY DỰNG,2,5
DA NANG,KINH DOANH,48,1
DA NANG,MARKETING,20,2
DA NANG,XÂY DỰNG,18,3
DA NANG,KẾ TOÁN,13,4
DA NANG,SẢN XUẤT,12,5
DAK LAK,KINH DOANH,9,1
DAK LAK,DƯỢC,1,2
DAK LAK,KẾ TOÁN,1,3
DAK LAK,MARKETING,1,4
DAK LAK,SẢN XUẤT,1,5
DIEN BIEN,XÂY DỰNG,1,1
DONG NAI,SẢN XUẤT,23,1
DONG NAI,KINH DOANH,20,2
DONG NAI,XÂY DỰNG,17,3
DONG NAI,KẾ TOÁN,11,4
DONG NAI,NHÂN SỰ,8,5
DONG THAP,SẢN XUẤT,9,1
DONG THAP,KINH DOANH,3,2
DONG THAP,KẾ TOÁN,2,3
DONG THAP,NHÂN SỰ,2,4
DONG THAP,BIÊN PHIÊN DỊCH,1,5
GIA LAI,SẢN XUẤT,3,1
GIA LAI,KINH DOANH,2,2
GIA LAI,NHÂN SỰ,2,3
GIA LAI,NĂNG LƯỢNG,2,4
GIA LAI,KẾ TOÁN,1,5
HA NAM,NHÂN SỰ,4,1
HA NAM,DƯỢC,1,2
HA NAM,DỆT MAY,1,3
HA NAM,KINH DOANH,1,4
HA NAM,LOGISTICS,1,5
HA NOI,KINH DOANH,636,1
HA NOI,MARKETING,537,2
HA NOI,KẾ TOÁN,474,3
HA NOI,CÔNG NGHỆ THÔNG TIN,290,4
HA NOI,XÂY DỰNG,264,5
HA TINH,KINH DOANH,2,1
HA TINH,XÂY DỰNG,2,2
HA TINH,ĐIỆN,2,3
HA TINH,SẢN XUẤT,1,4
HAI DUONG,KINH DOANH,2,1
HAI DUONG,SẢN XUẤT,2,2
